Household ID,Primary Member #,Dependent Count,Home Address
hh_111,mbr_220,1,"12526 Daniels Fords Apt. 545, North Ryan, MA 08708"
hh_171,mbr_223,1,"36681 Peters Locks, Greeneland, CT 40287"
hh_090,mbr_226,1,"PSC 2187, Box 3525, APO AE 06212"
hh_091,mbr_230,1,"63707 David Rest, East Margaretton, ND 38137"
hh_088,mbr_233,1,"8896 Morrison Gardens Suite 886, Ryantown, AL 03529"
hh_101,mbr_237,1,"6261 Nicholas Freeway Suite 234, Lake Christophermouth, NE 56044"
hh_134,mbr_239,1,"24370 Susan Rue Suite 145, Jasonton, ID 76541"
hh_167,mbr_245,1,"USNS Cardenas, FPO AP 56335"
hh_146,mbr_247,1,"0651 Holloway Summit, Casefort, OK 09561"
hh_159,mbr_249,1,"099 Maldonado Forge, North Benjamin, SC 59252"
hh_123,mbr_264,1,"225 Thompson Harbors, Port Breanna, FM 24709"
hh_135,mbr_272,1,"143 Gill Drive, Jasonton, NJ 77968"
hh_127,mbr_277,1,"3856 Joseph Villages, East Adrian, FM 39868"
hh_165,mbr_288,1,"9087 Patrick Course, Lake Alexanderborough, VT 55954"
hh_170,mbr_299,1,"295 Smith Hill, Phillipsview, MP 26431"
hh_066,mbr_001,2,"345 Kyle Mill, New Gregorytown, FM 61962"
hh_144,mbr_002,1,"8990 Zachary Court Apt. 998, East Ashleyshire, KY 85508"
hh_067,mbr_008,2,"63680 Kimberly Ridge Apt. 261, Kimberlyfurt, AS 55671"
hh_216,mbr_013,1,"3685 Amber Walks Suite 889, Lake Charleshaven, SC 25157"
hh_184,mbr_019,1,"USCGC Williams, FPO AP 59093"
hh_200,mbr_021,1,"PSC 1575, Box 0735, APO AE 19629"
hh_174,mbr_022,1,"284 Brandt Springs Suite 645, Allenstad, OR 38179"
hh_206,mbr_023,1,"29859 Peters Bridge Suite 226, Weberhaven, TN 97330"
hh_058,mbr_027,2,"3302 Traci Corner, Jameschester, NC 00601"
hh_196,mbr_030,1,"50692 Ashley Flat, West Sarah, MI 15758"
hh_212,mbr_031,1,"5839 Wilkins Junctions Suite 322, East Elizabethbury, IA 47597"
hh_133,mbr_038,1,"9377 Cesar Mountain Apt. 642, Gonzalezberg, ME 84708"
hh_220,mbr_042,1,"3007 Hogan Street, New Kyliemouth, NY 32940"
hh_045,mbr_043,2,"009 Bryant Gardens Suite 304, West Andreabury, WA 42777"
hh_175,mbr_046,1,"PSC 0993, Box 4604, APO AP 26322"
hh_208,mbr_049,1,"309 Hunter Cape, Port Deniseland, PA 08538"
hh_194,mbr_059,1,"93927 Abigail Circle, Palmerborough, NE 98515"
hh_086,mbr_065,1,"Unit 5833 Box 1614, DPO AE 18622"
hh_095,mbr_069,1,"74856 Jason Pass, East Gregory, FL 22543"
hh_186,mbr_071,1,"793 Deleon Lake Suite 213, South Joshua, ID 96761"
hh_180,mbr_079,1,"36255 Hernandez Neck Suite 095, Alyssaberg, MT 10703"
hh_187,mbr_081,1,"94877 Jose Rapids Apt. 715, Port Robertport, NC 01143"
hh_102,mbr_083,1,"9923 Stephanie Tunnel Apt. 830, Mitchellville, WV 76321"
hh_218,mbr_087,1,"94724 Fisher Mountain, North Devinfurt, SC 77581"
hh_051,mbr_091,2,"724 Alan Pike, Port Jane, NJ 89973"
hh_209,mbr_093,1,"45680 Ballard Burg, Millershire, ND 39896"
hh_182,mbr_094,1,"769 James Drive, New Robertport, MD 82736"
hh_201,mbr_095,1,"522 Cordova Locks, East Michaelshire, LA 14128"
hh_215,mbr_102,1,"24633 Klein Hollow Apt. 935, Thomasside, OK 64981"
hh_037,mbr_107,2,"188 Cindy Harbor, West Elizabethland, MT 12080"
hh_195,mbr_109,1,"0733 James Meadows Suite 546, Theresaton, VT 23819"
hh_147,mbr_118,1,"759 Hodges Shore Apt. 264, East Lisachester, NE 94532"
hh_207,mbr_120,1,"9270 Zachary Glens Apt. 356, Johnsonmouth, VA 72400"
hh_063,mbr_125,2,"94673 Farley Springs Suite 876, New Jeremiah, NJ 49672"
hh_189,mbr_132,1,"0658 Johnson Drive Suite 263, Michellefort, TN 10508"
hh_176,mbr_144,1,"3886 Melissa Rest, Martinezfort, GA 22322"
hh_213,mbr_146,1,"0491 Lin Wall, North Stacyview, OK 65367"
hh_100,mbr_147,1,"38447 Chad Turnpike Apt. 239, New Rhondaberg, PR 91886"
hh_217,mbr_148,1,"04904 Amanda Points, Jillianmouth, VA 72575"
hh_087,mbr_152,1,"56228 Glenn Burgs Suite 631, West Shellychester, TX 18705"
hh_177,mbr_153,1,"7113 Carrie Parkway, Arnoldville, NC 19216"
hh_191,mbr_163,1,"7254 Cindy Ridges Apt. 972, Lake Ryanborough, AS 14179"
hh_093,mbr_170,1,"591 Keith Knoll Apt. 666, East Christine, FM 21581"
hh_179,mbr_176,1,"Unit 7138 Box 1114, DPO AE 48874"
hh_010,mbr_184,2,"42272 Melissa Estate Apt. 447, North David, KY 43378"
hh_193,mbr_193,1,"939 Matthew Port, Vanessaland, NV 08811"
hh_128,mbr_194,1,"3907 Campos Circles Apt. 964, Parkerbury, OR 85467"
hh_219,mbr_196,1,"Unit 5256 Box 7462, DPO AA 87564"
hh_204,mbr_222,1,"1570 Rodriguez Streets Suite 321, Stevenville, GU 74393"
hh_199,mbr_224,1,"133 Alvarado Walk Suite 973, Victoriaville, IL 77055"
hh_039,mbr_227,2,"898 Megan Haven Apt. 122, West Vanessa, NC 82177"
hh_130,mbr_229,1,"310 Turner Islands Apt. 753, Lake Alanfurt, OK 78284"
hh_185,mbr_232,1,"63796 Gray Locks, Carriemouth, KY 95342"
hh_197,mbr_234,1,"131 Hicks Islands, Heatherchester, OR 89566"
hh_183,mbr_251,1,"69832 Brandon Ranch, Mclaughlinfurt, OH 82554"
hh_203,mbr_257,1,"395 Brittney Via, Port Ernestchester, DE 76128"
hh_190,mbr_260,1,"02060 Kevin Unions, North Erinport, PR 80262"
hh_155,mbr_261,1,"98813 Bishop Prairie Apt. 838, West Randallburgh, TX 24078"
hh_211,mbr_267,1,"2909 Davenport Park, Crawfordburgh, MN 29410"
hh_188,mbr_271,1,"48365 Williams Summit Apt. 348, Lindaburgh, AS 81634"
hh_202,mbr_273,1,"27300 Angela Ports, Larsonmouth, FM 29971"
hh_181,mbr_283,1,"159 Stephanie Burg Suite 204, Reyesmouth, PW 24155"
hh_210,mbr_284,1,"6225 Garcia Meadow, Christopherburgh, MS 18278"
hh_192,mbr_286,1,"511 Valenzuela Groves Suite 322, Johnport, OR 32640"
hh_178,mbr_287,1,"24964 Catherine Ports Suite 437, Bauerfort, UT 02639"
hh_214,mbr_290,1,"76489 Brett Park, Adamburgh, MP 66059"
hh_198,mbr_293,1,"Unit 1662 Box 2726, DPO AA 63050"
hh_205,mbr_300,1,"06846 Jose Knoll Suite 004, Christinaview, IL 16417"
