Member #,Member Number,Given Name,Surname,Email,Phone #,Birthday,Sex,Membership Type,Status,Date Joined,Date Resigned,Household ID,Annual Fee,Current Balance,Handicap #,Mailings
mbr_075,75,Jean,Young,jean.young@gmail.com,(602) 555-6345,1950-06-17,M,FG,active,2018-07-19,,hh_038,18000,-156,,1
mbr_077,77,Freya,Vale,freya.vale@yahoo.com,(602) 555-5312,1959-04-13,F,NR,active,2018-12-03,,hh_039,15000,1145,8211700,1
mbr_078,78,Sergei,Greer,sergei.greer@yahoo.com,(602) 555-7769,1991-09-25,M,SOC,active,2020-06-28,,hh_039,6000,46,3962800,1
mbr_081,81,Yoko,Rand,yoko.rand@yahoo.com,(602) 555-9293,1956-12-04,F,SOC,active,2019-05-27,,hh_041,6000,1525,9216100,1
mbr_083,83,Yong,Montgomery,yong.montgomery@icloud.com,(623) 555-8227,1964-10-10,F,SPT,active,2019-10-10,,hh_042,12000,2827,9718300,1
mbr_084,84,Ashok,Sterling,ashok.sterling@outlook.com,(623) 555-1684,1997-03-22,M,FG,active,2018-09-25,,hh_042,18000,-497,,1
mbr_085,85,Fatima,Navarro,fatima.navarro@icloud.com,(480) 555-4083,1973-09-06,M,SOC,active,2020-04-22,,hh_043,6000,1904,,0
mbr_087,87,William,Jackson,william.jackson@outlook.com,(623) 555-3017,1982-07-02,M,FG,active,2020-09-06,,hh_044,18000,-295,7439500,1
mbr_089,89,Joshua,Laurent,joshua.laurent@icloud.com,(520) 555-2174,1990-09-25,M,FG,active,2021-02-08,,hh_045,18000,1007,7941700,1
mbr_090,90,Edward,Quinn,edward.quinn@outlook.com,(520) 555-4541,1967-02-09,F,FG,active,2019-08-05,,hh_045,18000,1184,3692800,1
mbr_092,92,Benjamin,Wood,benjamin.wood@aol.com,(602) 555-3598,1975-12-05,F,FG,active,2020-01-16,,hh_046,18000,2486,,0
mbr_093,93,Jack,Schulz,jack.schulz@aol.com,(520) 555-5965,1952-05-17,M,FG,active,2021-12-03,,hh_047,18000,1386,8946100,1
mbr_095,95,Nancy,Powell,nancy.powell@gmail.com,(602) 555-4989,1996-04-12,M,FG,active,2019-12-15,,hh_048,18000,464,,1
mbr_096,96,Emily,Burke,emily.burke@aol.com,(480) 555-7389,1972-09-06,F,SOC,active,2021-11-02,,hh_048,6000,2865,,1
mbr_098,98,Angela,Chandler,angela.chandler@gmail.com,(623) 555-6423,1981-07-02,F,NR,active,2021-04-14,,hh_049,15000,666,2418400,0
mbr_044,44,David,Irving,david.irving@yahoo.com,(602) 555-7585,1997-03-22,M,SPT,active,2023-05-16,,hh_022,12000,1763,5275000,1
mbr_100,100,Janet,Yates,janet.yates@yahoo.com,(623) 555-2180,1990-05-26,F,FG,active,2021-09-25,,hh_050,18000,1968,2920600,1
mbr_101,101,Jorge,Jordan,jorge.jordan@gmail.com,(623) 555-4547,1966-10-09,M,FG,active,2020-04-22,,hh_051,18000,2145,,1
mbr_103,103,Gabriela,Holland,gabriela.holland@yahoo.com,(520) 555-3671,1975-01-05,M,FG,active,2021-09-24,,hh_052,18000,-54,,1
mbr_104,104,Tao,Sharp,tao.sharp@gmail.com,(520) 555-6071,1951-06-17,F,FG,active,2022-03-21,,hh_052,18000,2347,3925000,0
mbr_106,106,Kaito,Pace,kaito.pace@yahoo.com,(520) 555-5095,1960-04-13,M,FG,active,2020-08-05,,hh_053,18000,1425,1144000,1
mbr_107,107,Arjun,Craig,arjun.craig@yahoo.com,(520) 555-7494,1992-09-24,F,SOC,active,2021-07-19,,hh_054,6000,325,5895100,1
mbr_109,109,Tariq,Ash,tariq.ash@yahoo.com,(480) 555-6528,2001-07-20,F,FG,active,2022-07-03,,hh_055,18000,1627,,1
mbr_110,110,Logan,Harrison,logan.harrison@yahoo.com,(520) 555-8885,1956-12-14,M,SPT,active,2021-06-18,,hh_055,12000,527,2148400,0
mbr_111,111,Sophia,Hartford,sophia.hartford@icloud.com,(623) 555-5585,1989-05-26,F,SPT,active,2022-12-15,,hh_056,12000,2929,6899500,1
mbr_113,113,Nolan,Tanaka,nolan.tanaka@yahoo.com,(480) 555-1319,1997-03-22,F,FG,active,2023-05-27,,hh_057,18000,2007,,1
mbr_114,114,Leah,Desai,leah.desai@icloud.com,(623) 555-6976,1974-08-06,M,SPT,active,2021-04-14,,hh_057,12000,907,3152800,1
mbr_115,115,Derek,Wright,derek.wright@icloud.com,(623) 555-9376,1950-01-17,F,FG,active,2023-11-11,,hh_058,18000,-193,7903900,1
mbr_117,117,Wesley,Sullivan,wesley.sullivan@outlook.com,(520) 555-8410,1959-04-13,F,FG,active,2023-04-12,,hh_059,18000,2386,5122900,1
mbr_118,118,Francois,Ferrari,francois.ferrari@icloud.com,(623) 555-1867,1991-09-25,M,FG,active,2022-10-09,,hh_059,18000,1286,,1
mbr_120,120,Magnus,Schmidt,magnus.schmidt@outlook.com,(520) 555-9834,2000-07-21,M,SOC,active,2023-03-21,,hh_060,6000,2588,,1
mbr_121,121,Olga,Ellington,olga.ellington@icloud.com,(520) 555-3291,1976-12-04,F,FG,active,2021-02-08,,hh_061,18000,1488,6127300,1
mbr_123,123,Chiara,Grant,chiara.grant@outlook.com,(520) 555-2258,1985-10-28,F,FG,active,2022-07-20,,hh_062,18000,566,6629499,0
mbr_124,124,Satoshi,Lambert,satoshi.lambert@gmail.com,(520) 555-4625,1997-03-22,M,SOC,active,2023-01-06,,hh_062,6000,2968,,1
mbr_126,126,Chul,Kendall,chul.kendall@aol.com,(480) 555-9482,1949-02-18,F,FG,active,2016-06-18,,hh_063,18000,768,8599600,1
mbr_127,127,Geeta,Vance,geeta.vance@gmail.com,(480) 555-6149,1982-07-02,M,FG,active,2023-12-15,,hh_064,18000,-331,4350700,1
mbr_129,129,Amina,Randolph,amina.randolph@aol.com,(480) 555-1873,1990-05-25,M,FG,active,2023-06-27,,hh_065,18000,2247,,1
mbr_130,130,Richard,Easton,richard.easton@gmail.com,(480) 555-7572,1967-10-09,F,LEG,active,2022-04-14,,hh_065,22000,1148,,1
mbr_132,132,Kenneth,Archer,kenneth.archer@yahoo.com,(602) 555-3396,1975-12-05,F,FG,active,2022-05-26,,hh_066,18000,2449,1106200,1
mbr_134,134,Jonathan,Ziegler,jonathan.ziegler@gmail.com,(520) 555-2363,1984-11-28,F,FG,active,2023-10-09,,hh_067,18000,1527,1608399,1
mbr_136,136,Dennis,Wolf,dennis.wolf@yahoo.com,(602) 555-1487,1993-09-24,F,SOC,active,2023-03-21,,hh_068,6000,2829,,1
mbr_137,137,Elizabeth,Anderson,elizabeth.anderson@gmail.com,(520) 555-3854,1969-02-08,M,FG,active,2017-02-08,,hh_069,18000,1729,3578500,1
mbr_139,139,Donna,Hernandez,donna.hernandez@yahoo.com,(602) 555-2821,1957-12-14,M,SOC,active,2017-02-20,,hh_070,6000,-470,,1
mbr_140,140,Rebecca,Park,rebecca.park@icloud.com,(480) 555-5278,1989-05-26,F,FG,active,2016-01-06,,hh_070,18000,-293,,1
mbr_142,142,Samantha,Lewis,samantha.lewis@yahoo.com,(623) 555-4245,1998-03-21,F,SOC,active,2016-06-18,,hh_071,6000,1009,9334000,1
mbr_143,143,Catherine,White,catherine.white@outlook.com,(480) 555-6612,1974-08-05,M,FG,active,2023-01-15,,hh_072,18000,-91,5085100,1
mbr_203,203,Darryl,Harrington,darryl.harrington@icloud.com,(623) 555-5187,1984-10-28,M,SOC,active,2022-03-10,,hh_102,6000,493,9451900,1
mbr_145,145,Isabella,Walsh,isabella.walsh@yahoo.com,(623) 555-5769,1983-06-01,F,FG,active,2016-06-17,,hh_073,18000,2488,,1
mbr_146,146,Rosa,Fox,rosa.fox@outlook.com,(602) 555-8136,1959-04-13,M,SPT,active,2017-12-14,,hh_073,12000,1389,,1
mbr_148,148,Haruki,Stanton,haruki.stanton@aol.com,(520) 555-7160,1968-02-08,M,FG,active,2018-05-26,,hh_074,18000,2690,7557400,1
mbr_150,150,Nisha,Burns,nisha.burns@outlook.com,(602) 555-2926,1977-12-04,M,NR,active,2018-10-09,,hh_075,15000,491,8059600,1
mbr_151,151,Nia,Hunt,nia.hunt@aol.com,(520) 555-5383,1953-05-16,F,FG,active,2017-09-24,,hh_076,18000,668,3810700,1
mbr_153,153,Aiden,Holden,aiden.holden@outlook.com,(602) 555-4350,1997-03-22,M,FG,active,2017-09-08,,hh_077,18000,1970,,1
mbr_154,154,Avery,Sawyer,avery.sawyer@aol.com,(520) 555-6717,1974-08-06,F,FG,active,2016-08-23,,hh_077,18000,870,9064000,1
mbr_156,156,Parker,Oakley,parker.oakley@gmail.com,(623) 555-5841,1982-07-01,F,JR,active,2016-01-07,,hh_078,8000,-52,,1
mbr_157,157,Hazel,Bloom,hazel.bloom@aol.com,(480) 555-8141,1959-12-13,M,FG,active,2018-08-04,,hh_079,18000,2350,,1
mbr_158,158,Troy,Marsh,troy.marsh@aol.com,(623) 555-4898,1991-05-25,F,SOC,active,2017-06-18,,hh_079,6000,1250,6785200,1
mbr_160,160,Reginald,Irwin,reginald.irwin@gmail.com,(480) 555-9665,2000-07-21,F,FG,active,2017-07-02,,hh_080,18000,2552,7287400,1
mbr_162,162,Henrik,Horn,henrik.horn@gmail.com,(623) 555-8689,1952-05-16,F,SOC,active,2018-12-14,,hh_081,6000,1630,,0
mbr_163,163,Gunnar,Troy,gunnar.troy@gmail.com,(602) 555-2056,1985-10-28,M,FG,active,2019-11-01,,hh_082,18000,530,,1
mbr_165,165,Marco,Ashworth,marco.ashworth@yahoo.com,(520) 555-1123,1993-09-24,M,FG,active,2020-04-12,,hh_083,18000,1832,4042900,1
mbr_167,167,Emiko,Wang,emiko.wang@icloud.com,(602) 555-9147,1981-07-02,M,FG,active,2017-04-24,,hh_084,18000,909,4545099,1
mbr_169,169,Sung,Robinson,sung.robinson@gmail.com,(623) 555-4914,1990-05-25,M,FG,active,2018-09-08,,hh_085,18000,2211,1764100,1
mbr_171,171,Leila,Bergman,leila.bergman@yahoo.com,(480) 555-3938,1999-03-21,F,FG,active,2018-02-20,,hh_086,18000,12,2266300,1
mbr_045,45,Daniel,Trent,daniel.trent@yahoo.com,(520) 555-4252,1973-08-06,F,SPT,active,2017-12-03,,hh_023,12000,664,1026100,1
mbr_046,46,Andrew,Erickson,andrew.erickson@gmail.com,(520) 555-6619,1950-06-18,M,FG,active,2016-06-28,,hh_023,18000,841,,1
mbr_047,47,Ronald,Pearson,ronald.pearson@icloud.com,(602) 555-9019,1982-11-01,F,SPT,active,2023-05-15,,hh_024,12000,-259,,1
mbr_048,48,Nicholas,Carter,nicholas.carter@yahoo.com,(520) 555-5676,1958-04-13,M,FG,active,2016-11-12,,hh_024,18000,2143,,1
mbr_049,49,Brandon,Neal,brandon.neal@yahoo.com,(520) 555-8043,1991-09-25,F,SOC,active,2023-10-26,,hh_025,6000,1043,2030500,0
mbr_050,50,Patrick,Yeager,patrick.yeager@icloud.com,(602) 555-1410,1967-02-09,M,FG,active,2017-04-23,,hh_025,18000,-57,6781600,1
mbr_051,51,Linda,Joyce,linda.joyce@yahoo.com,(480) 555-3810,1999-07-21,F,FG,active,2023-03-10,,hh_026,18000,121,2532700,1
mbr_053,53,Kimberly,Ives,kimberly.ives@icloud.com,(623) 555-2834,1987-05-27,F,FG,active,2016-03-22,,hh_027,18000,1423,8751700,1
mbr_054,54,Deborah,Uhl,deborah.uhl@icloud.com,(480) 555-5234,1964-11-11,M,FG,active,2018-02-09,,hh_027,18000,323,4502800,1
mbr_055,55,Amy,Gale,amy.gale@outlook.com,(480) 555-1991,1996-04-22,F,JR,active,2016-09-06,,hh_028,8000,2724,9253900,0
mbr_056,56,Nicole,Sinclair,nicole.sinclair@icloud.com,(623) 555-4358,1972-09-06,M,SOC,active,2018-07-21,,hh_028,6000,1625,5005000,1
mbr_057,57,Carolyn,Martinez,carolyn.martinez@icloud.com,(602) 555-6725,1949-02-18,F,SOC,active,2017-02-18,,hh_029,6000,1802,,1
mbr_058,58,Luis,Liu,luis.liu@outlook.com,(480) 555-3325,1981-07-02,M,JR,active,2023-12-04,,hh_029,8000,702,,1
mbr_059,59,Manuel,Singh,manuel.singh@outlook.com,(520) 555-5782,1957-12-14,M,SOC,active,2017-07-19,,hh_030,6000,-397,,1
mbr_060,60,Adriana,Harris,adriana.harris@aol.com,(602) 555-8149,1990-09-26,F,SOC,active,2016-01-16,,hh_030,6000,2004,6009400,1
mbr_062,62,Yuki,Lindqvist,yuki.lindqvist@outlook.com,(520) 555-7216,1998-07-21,F,SOC,active,2016-06-28,,hh_031,6000,1082,6511600,1
mbr_064,64,Deepa,Ivanov,deepa.ivanov@aol.com,(602) 555-6240,1951-06-17,F,FG,active,2017-11-12,,hh_032,18000,2384,,1
mbr_068,68,Charlotte,Stone,charlotte.stone@gmail.com,(480) 555-1030,1948-02-18,F,FG,active,2018-09-25,,hh_034,18000,2763,,1
mbr_t03,503,Kevin,Hurst,kevin.h@email.com,(480) 555-0103,1970-03-22,M,FG,resigned,2015-09-20,2026-01-08,,18000,0,,1
mbr_072,72,Marcus,Quincy,marcus.quincy@gmail.com,(480) 555-4821,1965-10-10,F,FG,active,2018-07-21,,hh_036,18000,1865,5739400,1
mbr_076,76,Genevieve,Kane,genevieve.kane@icloud.com,(520) 555-8712,1983-11-01,M,SOC,active,2019-01-16,,hh_038,6000,2245,3460600,1
mbr_079,79,Tatiana,Tate,tatiana.tate@icloud.com,(520) 555-1136,1968-02-09,F,FG,active,2018-05-15,,hh_040,18000,223,8713900,0
mbr_080,80,Paolo,Fry,paolo.fry@yahoo.com,(623) 555-6893,2000-07-20,M,SOC,active,2020-11-02,,hh_040,6000,2624,,0
mbr_082,82,Jin,Duff,jin.duff@icloud.com,(480) 555-2560,1988-05-26,M,FG,active,2018-04-13,,hh_041,18000,425,4967200,1
mbr_086,86,Karim,Patel,karim.patel@icloud.com,(520) 555-9650,1949-02-18,F,LEG,active,2018-02-09,,hh_043,22000,805,,0
mbr_088,88,Matthew,Brown,matthew.brown@outlook.com,(602) 555-5474,1958-12-13,F,LEG,active,2019-03-21,,hh_044,22000,2106,3190600,1
mbr_091,91,Eric,Petrov,eric.petrov@outlook.com,(602) 555-6898,1999-07-21,M,SPT,active,2021-07-19,,hh_046,12000,85,,1
mbr_094,94,Barbara,Livingston,barbara.livingston@outlook.com,(602) 555-8332,1984-11-28,F,FG,active,2020-06-28,,hh_047,18000,287,4697200,1
mbr_097,97,Stephanie,Owens,stephanie.owens@outlook.com,(623) 555-9756,1949-02-18,M,FG,active,2019-05-27,,hh_049,18000,1766,6667300,1
mbr_099,99,Helen,Norris,helen.norris@aol.com,(480) 555-8880,1957-12-14,M,FG,active,2020-11-11,,hh_050,18000,-434,7169500,1
mbr_102,102,Sofia,Upton,sofia.upton@gmail.com,(480) 555-1214,1998-03-21,F,FG,active,2022-10-09,,hh_051,18000,1046,,1
mbr_105,105,Kenji,Dean,kenji.dean@gmail.com,(602) 555-2638,1983-11-01,F,FG,active,2021-02-08,,hh_053,18000,1248,5392900,1
mbr_108,108,Kofi,Nye,kofi.nye@icloud.com,(602) 555-4161,1968-02-08,M,SPT,active,2020-01-16,,hh_054,12000,2727,,1
mbr_112,112,Owen,Castillo,owen.castillo@icloud.com,(480) 555-7952,1965-10-10,M,FG,active,2021-11-02,,hh_056,18000,-395,,1
mbr_295,295,Takeshi,Todd,takeshi.todd@outlook.com,(623) 555-7989,1960-11-13,F,FG,suspended,2019-05-15,,hh_148,18000,1559,,1
mbr_t01,501,James,Whitfield,james.w@email.com,(480) 555-0101,1978-06-14,M,FG,active,2019-03-15,,hh_t01,18000,0,,1
mbr_116,116,Lamar,Dupont,lamar.dupont@outlook.com,(480) 555-2743,1982-07-01,M,FG,active,2022-09-25,,hh_058,18000,2209,9371800,1
mbr_119,119,Eloise,Bailey,eloise.bailey@aol.com,(602) 555-4167,1967-02-09,F,FG,active,2021-09-24,,hh_060,18000,187,,1
mbr_122,122,Giuseppe,Barnes,giuseppe.barnes@aol.com,(602) 555-5658,1952-05-16,M,FG,active,2023-08-05,,hh_061,18000,389,1878400,1
mbr_125,125,Soo,York,soo.york@aol.com,(623) 555-7082,1973-09-06,M,FG,active,2022-07-03,,hh_063,18000,1868,7131700,1
mbr_128,128,Omar,Gibson,omar.gibson@aol.com,(623) 555-8516,1958-12-13,F,FG,active,2016-11-02,,hh_064,18000,-154,,1
mbr_131,131,Anthony,Page,anthony.page@gmail.com,(623) 555-9939,1999-07-21,M,FG,active,2016-11-01,,hh_066,18000,48,5355100,1
mbr_133,133,Jason,Lane,jason.lane@gmail.com,(480) 555-8963,1952-05-17,M,SOC,active,2016-04-12,,hh_067,6000,1350,5857300,1
mbr_135,135,Samuel,King,samuel.king@yahoo.com,(602) 555-4730,1960-04-12,M,JR,active,2016-09-24,,hh_068,8000,428,,1
mbr_138,138,Betty,Beaumont,betty.beaumont@yahoo.com,(520) 555-6154,1981-07-20,F,FG,active,2016-08-23,,hh_069,18000,630,8329600,1
mbr_141,141,Shirley,Nair,shirley.nair@icloud.com,(520) 555-7678,1966-10-10,M,FG,active,2018-07-03,,hh_071,18000,2109,4582900,1
mbr_144,144,Pedro,Eriksson,pedro.eriksson@icloud.com,(480) 555-9069,1951-01-17,F,JR,active,2017-11-02,,hh_072,8000,2311,9836200,1
mbr_147,147,Ming,Weber,ming.weber@icloud.com,(480) 555-1493,1992-09-25,F,FG,active,2016-11-01,,hh_074,18000,289,,1
mbr_149,149,Mio,Coleman,mio.coleman@outlook.com,(602) 555-9559,2000-07-20,F,FG,active,2016-04-12,,hh_075,18000,1591,3308500,1
mbr_152,152,Liam,Tucker,liam.tucker@outlook.com,(602) 555-1950,1965-10-28,M,FG,active,2018-03-21,,hh_076,18000,-431,,1
mbr_155,155,Dylan,Donovan,dylan.donovan@aol.com,(623) 555-3474,1950-01-17,M,SOC,active,2018-02-20,,hh_078,6000,-229,4815100,1
mbr_159,159,Cedric,Xu,cedric.xu@gmail.com,(623) 555-7265,1967-10-09,M,JR,active,2018-01-15,,hh_080,8000,150,2536300,1
mbr_t02,0,Pamela,Ulrich,pamela.u@email.com,(480) 555-0102,,,FG,active,2017-06-01,,,18000,0,,1
mbr_161,161,Laurent,Vega,laurent.vega@aol.com,(480) 555-6232,1976-12-04,M,SPT,active,2019-06-17,,hh_081,12000,1452,3038500,1
mbr_164,164,Ivan,Falk,ivan.falk@yahoo.com,(602) 555-7756,1961-03-12,F,SOC,active,2018-05-26,,hh_082,6000,2931,,1
mbr_166,166,Elisa,Rodriguez,elisa.rodriguez@gmail.com,(602) 555-3480,1970-02-08,F,JR,active,2018-10-09,,hh_083,8000,732,8794000,1
mbr_168,168,Hyun,Gupta,hyun.gupta@yahoo.com,(520) 555-2547,1958-12-14,F,FG,active,2019-03-11,,hh_084,18000,-190,6013000,1
mbr_170,170,Mohan,Taylor,mohan.taylor@icloud.com,(602) 555-1571,1966-10-09,F,FG,active,2019-08-23,,hh_085,18000,1111,6515200,1
mbr_173,173,Joseph,Sokolov,joseph.sokolov@icloud.com,(623) 555-8794,1951-01-17,F,FG,active,2019-08-04,,hh_087,18000,2591,,1
mbr_175,175,Kevin,Braun,kevin.braun@outlook.com,(623) 555-7828,1960-04-12,F,FG,active,2019-01-05,,hh_088,18000,391,3270700,0
mbr_177,177,Stephen,Cole,stephen.cole@icloud.com,(602) 555-6885,1969-02-08,F,FG,active,2019-06-17,,hh_089,18000,1693,3772900,1
mbr_178,178,Raymond,Drake,raymond.drake@outlook.com,(520) 555-9252,2001-07-20,M,JR,active,2018-12-14,,hh_089,8000,1870,5240800,1
mbr_181,181,Margaret,Paxton,margaret.paxton@outlook.com,(520) 555-1676,1966-10-10,F,SOC,active,2020-04-13,,hh_091,6000,2072,,0
mbr_183,183,Sharon,Logan,sharon.logan@aol.com,(602) 555-9743,1974-08-05,F,SOC,active,2021-04-24,,hh_092,6000,-127,,1
mbr_186,186,Maria,Urban,maria.urban@aol.com,(623) 555-2134,1959-11-13,M,FG,active,2020-08-23,,hh_093,18000,1352,7249600,1
mbr_189,189,Carmen,Ewing,carmen.ewing@gmail.com,(623) 555-3558,2000-07-20,F,FG,active,2022-08-22,,hh_095,18000,2831,9219700,1
mbr_191,191,Sora,Clay,sora.clay@yahoo.com,(480) 555-8324,1953-05-16,M,SPT,active,2019-01-05,,hh_096,12000,632,,1
mbr_193,193,Rohan,Blackwood,rohan.blackwood@aol.com,(623) 555-7448,1962-03-12,M,SOC,active,2020-06-17,,hh_097,6000,1934,1224100,0
mbr_194,194,Jelani,Delgado,jelani.delgado@yahoo.com,(602) 555-9848,1994-08-23,F,FG,active,2021-12-14,,hh_097,18000,834,5975200,1
mbr_197,197,Ella,Johnson,ella.johnson@yahoo.com,(602) 555-2239,1958-12-13,M,SPT,active,2021-11-13,,hh_099,12000,2313,,1
mbr_200,200,Violet,Esposito,violet.esposito@yahoo.com,(623) 555-3663,1999-03-21,F,SOC,active,2023-03-11,,hh_100,6000,291,,0
mbr_202,202,Tyrone,Becker,tyrone.becker@icloud.com,(480) 555-2730,1952-05-16,F,SPT,active,2020-08-23,,hh_101,12000,1593,,1
mbr_296,296,Ryo,Ellis,ryo.ellis@icloud.com,(602) 555-1356,1992-04-24,M,SOC,suspended,2015-11-12,,hh_148,6000,459,,1
mbr_t04,504,Anne,Jordan,anne.j@email.com,(480) 555-0104,1972-09-18,F,FG,active,2016-03-15,,hh_t04,14000,0,,1
mbr_206,206,Bjorn,Nash,bjorn.nash@icloud.com,(520) 555-6521,1969-02-08,F,SPT,active,2024-02-19,,hh_103,12000,1973,,0
mbr_209,209,Giovanni,Xavier,giovanni.xavier@icloud.com,(520) 555-7912,1990-05-15,M,SPT,active,2024-06-17,,hh_105,12000,2175,7675300,1
mbr_211,211,Min,Turner,min.turner@outlook.com,(602) 555-7069,1999-03-21,M,FG,active,2024-06-01,,hh_106,18000,1252,8177500,0
mbr_213,213,Sunita,Rhodes,sunita.rhodes@aol.com,(520) 555-2735,1951-01-17,F,SOC,active,2024-11-13,,hh_107,6000,2554,8679699,1
